Product,Price,Payment_Type,Name,City,State,Country,Transaction_date
Product1,1200,Mastercard,Nikki,New Rochelle                ,NY,United States,01-01-2009 01:26
Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark,01-01-2009 01:51
Product1,1200,Mastercard,Saraya,Dresden,Saxony,Germany,01-01-2009 02:09
Product1,1200,Visa,Lisa,Sugar Land                  ,TX,United States,01-01-2009 02:24
Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands,01-01-2009 03:51
Product3,7500,Amex,Pamela,Skaneateles                 ,NY,United States,01-01-2009 04:24
Product1,1200,Mastercard,Regina,Glimmen,Groningen,Netherlands,01-01-2009 05:04
Product1,1200,Mastercard,Elaine,Vicenza,Veneto,Italy,01-01-2009 06:29
Product1,1200,Amex,Emer,South Palm Beach            ,FL,United States,01-01-2009 07:09
Product1,1200,Mastercard,Nicole,South Melbourne,Victoria,Australia,01-01-2009 08:09
Product1,1200,Diners,Babs,Blackpool,England,United Kingdom,01-01-2009 09:21
Product1,1200,Mastercard,Barbara,La Crescenta                ,CA,United States,01-01-2009 09:35
Product2,3600,Mastercard,Irene,Munich,Bayern,Germany,01-01-2009 10:06
Product1,1200,Diners,Janis,Ballynora,Cork,Ireland,01-01-2009 11:05
Product1,1200,Visa,Marlene,Edgewood                    ,WA,United States,01-01-2009 12:19
Product2,3600,Visa,seemab,San Pawl tat-Targa, ,Malta,01-01-2009 12:20
Product2,3600,Mastercard,Anne-line,Zug,Zug,Switzerland,01-01-2009 12:25
Product1,1200,Visa,ashton,Exeter,England,United Kingdom,01-01-2009 12:42
Product1,1200,Mastercard,Gabriel,Three Hills,Alberta,Canada,01-01-2009 14:19
Product1,1200,Mastercard,Liban,Stavanger,Rogaland,Norway,01-01-2009 14:22
Product1,1200,Visa,Toni,Bolton,England,United Kingdom,01-01-2009 16:00
Product1,1200,Amex,Julie ,Rockville                   ,MD,United States,01-01-2009 16:44
Product1,1200,Amex,Andrea ,San Mateo                   ,CA,United States,01-01-2009 18:32
Product1,1200,Diners,Damali,Toronto,Ontario,Canada,01-01-2009 19:25
Product1,1200,Visa,Maxine,Morton                      ,IL,United States,01-01-2009 20:21
Product1,1200,Visa,nathalie,Calgary,Alberta,Canada,01-01-2009 20:28
Product1,1200,Mastercard,Tina,Anglesea,Victoria,Australia,01-01-2009 21:40
Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey,01-02-2009 00:50
Product1,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland,01-02-2009 01:11
Product1,1200,Mastercard,Morgan,Coomera,Queensland,Australia,01-02-2009 02:28
Product1,1200,Visa,Kim,Newcastle,Wicklow,Ireland,01-02-2009 02:50
Product1,1200,Visa,chris,London,England,United Kingdom,01-02-2009 02:57
Product1,1200,Visa,Elaine,Tranby,Buskerud,Norway,01-02-2009 04:21
Product1,1200,Visa,gladys,Saint Albans,England,United Kingdom,01-02-2009 04:34
Product1,1200,Visa,Betina,Parkville                   ,MO,United States,01-02-2009 04:53
Product1,1200,Visa,Dr. Donald,Stockton-on-Tees,England,United Kingdom,01-02-2009 05:14
Product1,1200,Visa,Mike,Aberdeen,Scotland,United Kingdom,01-02-2009 05:33
Product1,1200,Visa,Cindy ,Kemble,England,United Kingdom,01-02-2009 06:07
Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom,01-02-2009 06:17
Product1,1200,Visa,gail ,London,England,United Kingdom,01-02-2009 07:03
Product1,1200,Mastercard,Fiona,Lake Ronkonkoma,NY,United States,01-02-2009 07:30
Product1,1200,Diners,Hani,Salt Lake City              ,UT,United States,01-02-2009 07:35
Product1,1200,Diners,Naseer,London,England,United Kingdom,01-02-2009 07:47
Product1,1200,Visa,Line,Budaors,Pest,Hungary,01-02-2009 08:31
Product1,1200,Mastercard,Sean ,Shavano Park                ,TX,United States,01-02-2009 09:16
Product1,1200,Visa,camilla,Chicago                     ,IL,United States,01-02-2009 09:31
Product1,1200,Amex,leigh,Potomac Falls               ,VA,United States,01-02-2009 09:57
Product1,1200,Mastercard,Brandi,Edmonton,Alberta,Canada,01-02-2009 10:32
Product2,3600,Visa,Kendra,Toronto,Ontario,Canada,01-02-2009 10:58
Product1,1200,Mastercard,Andrew,Sevilla,Andalucia,Spain,01-02-2009 11:06
Product1,1200,Visa,Crystal,Farmington,Michigan,United States,01-02-2009 11:41
Product1,1200,Mastercard,Monique,Waldorf                     ,MD,United States,01-02-2009 12:16
Product1,1200,Visa,Alice,Nakskov,Storstrom,Denmark,01-02-2009 12:18
Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States,01-02-2009 13:08
Product1,1200,Visa,Alyssa,Antibes,Provence-Alpes-Cote d'Azur,France,01-02-2009 13:35
Product1,1200,Diners,Aaron,Reading,England,United Kingdom,01-02-2009 14:14
Product1,1200,Visa,Richard,Riverside                   ,NJ,United States,01-02-2009 14:18
Product1,1200,Visa,Rowena,Cork,Cork,Ireland,01-02-2009 15:13
Product1,1200,Diners,Brenda,Saffron Walden,England,United Kingdom,01-02-2009 15:18
Product1,1200,Diners,Sonja,Alpine                      ,NJ,United States,01-02-2009 15:57
Product2,3600,Diners,clara,Perth,Western Australia,Australia,01-02-2009 17:24
Product1,1200,Mastercard,Jammie,Belmont                     ,MA,United States,01-02-2009 17:45
Product1,1200,Visa,odile,Lititz                      ,PA,United States,01-02-2009 18:41
Product1,1200,Visa,Kathryn,Cork,Cork,Ireland,01-02-2009 18:43
Product1,1200,Mastercard,Kelly,Hendersonville              ,TN,United States,01-02-2009 18:54
Product1,1200,Mastercard,adam,Martin                      ,TN,United States,01-02-2009 20:09
Product1,1200,Visa,Katharina,Flower Mound                ,TX,United States,01-02-2009 20:47
Product1,1200,Diners,Lynne,Memphis                     ,TN,United States,01-02-2009 22:00
Product2,3600,Visa,eva,Gisborne,Victoria,Australia,01-02-2009 22:44
Product2,3600,Visa,ayelet,Malmo,Skane,Sweden,01-03-2009 06:41
Product1,1200,Mastercard,Gerlinde,Hellerup,Kobenhavn,Denmark,01-03-2009 07:58
Product1,1200,Visa,Genevieve,Milton Keynes,England,United Kingdom,01-03-2009 08:29
Product1,1200,Diners,Sheila,Brooklyn                    ,NY,United States,01-03-2009 09:03
Product1,1200,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey,01-03-2009 09:54
Product1,1200,Visa,Kara,Chicago                     ,IL,United States,01-03-2009 09:56
Product1,1200,Visa,Anja,Gainesville                 ,VA,United States,01-03-2009 09:58
Product2,3600,Visa,Christiane ,Delray Beach                ,FL,United States,01-03-2009 10:11
Product1,1200,Visa,Djeiny,Rockville                   ,MD,United States,01-03-2009 10:52
Product1,1200,Mastercard,paula,Sammamish                   ,WA,United States,01-03-2009 11:03
Product1,1200,Amex,Maria and Timothy,Fountain Hls                ,AZ,United States,01-03-2009 11:08
Product1,1200,Diners,caterina,Burbank                     ,CA,United States,01-03-2009 12:54
Product1,1200,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark,01-03-2009 13:11
Product1,1200,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark,01-03-2009 13:24
Product1,1200,Mastercard,Yvette,Aubonne,Vaud,Switzerland,01-03-2009 13:35
Product1,1200,Mastercard,Andree,Newmarket,Cork,Ireland,01-03-2009 13:43
Product1,1200,Visa,Rennae,Amelia Island               ,FL,United States,01-03-2009 13:56
Product1,1200,Visa,sherry,Las Vegas                   ,NV,United States,01-03-2009 14:14
Product2,3600,Visa,Kees en Valesca,Scamander,Tasmania,Australia,01-03-2009 14:17
Product1,1200,Visa,Gouya,Echuca,Victoria,Australia,01-03-2009 14:44
Product1,1200,Mastercard,Lindi,Vancouver,British Columbia,Canada,01-03-2009 15:22
Product1,1200,Visa,Cindy,Glendora                    ,CA,United States,01-03-2009 16:56
Product1,1200,Visa,Vanessa,Cornwall,Ontario,Canada,01-03-2009 18:43
Product1,1200,Mastercard,asuncion ,Centennial                  ,CO,United States,01-03-2009 21:11
Product1,1200,Visa,Doug and Tina,Pls Vrds Est                ,CA,United States,01-03-2009 21:19
Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland,01-04-2009 01:05
Product1,1200,Amex,jeremy,Charlestown,New South Wales,Australia,01-04-2009 01:38
Product1,1200,Mastercard,Scott,Den Haag,Zuid-Holland,Netherlands,01-04-2009 03:41
Product1,1200,Mastercard,Samantha,Watford,England,United Kingdom,01-04-2009 04:05
Product1,1200,Visa,DeeDee,Songnae-dong,Soul-t'ukpyolsi,South Korea,01-04-2009 05:12
Product1,1200,Visa,Lauren,Hradec Kralove,East Bohemia,Czech Republic,01-04-2009 05:13
Product1,1200,Visa,Rima,Mullingar,Westmeath,Ireland,01-04-2009 06:51
Product1,1200,Mastercard,Jamie,Houston                     ,TX,United States,01-04-2009 07:43
Product1,1200,Visa,Gerhard,Alliston,Ontario,Canada,01-04-2009 07:54
Product2,3600,Diners,Baybars,Prince Albert,Saskatchewan,Canada,01-04-2009 08:39
Product1,1200,Visa,Charlene,Calgary,Alberta,Canada,01-04-2009 09:02
Product1,1200,Visa,Jen,Maidstone,England,United Kingdom,01-04-2009 09:28
Product1,1200,Mastercard,AMY,The Woodlands               ,TX,United States,01-04-2009 09:54
Product1,1200,Mastercard,Rebecca,Berlin,Berlin,Germany,01-04-2009 10:16
Product1,1200,Mastercard,Allison,Naples                      ,FL,United States,01-04-2009 10:18
Product1,1200,Diners,Paul,Burnaby,British Columbia,Canada,01-04-2009 10:44
Product1,1200,Diners,Denise,Montreal,Quebec,Canada,01-04-2009 12:49
Product1,1200,Diners,Kayla,Leamington Spa,England,United Kingdom,01-04-2009 12:53
Product2,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States,01-04-2009 12:56
Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel,01-04-2009 13:17
Product1,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States,01-04-2009 13:19
Product1,1200,Mastercard,Nuria,Superior                    ,CO,United States,01-04-2009 13:20
Product1,1200,Mastercard,Tamar,Headley,England,United Kingdom,01-04-2009 13:56
Product1,1200,Visa,carolien,Mashpee                     ,MA,United States,01-04-2009 14:06
Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France,01-04-2009 14:11
Product1,1200,Visa,Carole,Cardiff,Wales,United Kingdom,01-04-2009 14:27
Product1,1200,Visa,Judith L.,Scottsdale                  ,AZ,United States,01-04-2009 16:23
Product1,1200,Visa,Amy,Parramatta,New South Wales,Australia,01-04-2009 16:59
Product1,1200,Mastercard,Clare,Lafayette                   ,CA,United States,01-04-2009 17:02
Product1,1200,Mastercard,Dean,Rockingham,Western Australia,Australia,01-04-2009 17:34
Product1,1200,Amex,ruth,Encinitas                   ,CA,United States,01-04-2009 17:54
Product1,1200,Visa,Erica,Leesburg                    ,VA,United States,01-04-2009 18:34
Product1,1200,Mastercard,KELI,Worongary,Queensland,Australia,01-04-2009 18:57
Product1,1200,Amex,Elisa,Ottawa Hills                ,OH,United States,01-04-2009 19:20
Product1,1200,Mastercard,Fleur,Peoria                      ,IL,United States,01-04-2009 20:11
Product1,1200,Mastercard,Christyna,Calgary,Alberta,Canada,01-04-2009 21:08
Product2,3600,Amex,Lucien,Wiesbaden,Hessen,Germany,01-04-2009 22:00
Product2,3600,Mastercard,Karoline ,Powell River,British Columbia,Canada,01-04-2009 22:18
Product1,1200,Diners,Sarka,Yellowknife,Northwest Territories,Canada,01-04-2009 23:48
Product1,1200,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden,01-05-2009 00:31
Product1,1200,Amex,Lisa,Gurgaon,Haryana,India,01-05-2009 00:46
Product1,1200,Diners,Stacy,New York                    ,NY,United States,01-05-2009 02:42
Product3,7500,Visa,Marion,Rennes,Brittany,France,01-05-2009 02:57
Product1,1200,Diners,Elizabeth,Cork,Cork,Ireland,01-05-2009 03:03
Product1,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa,01-05-2009 04:10
Product1,1200,Visa,M George,Paris,Ile-de-France,France,01-05-2009 05:30
Product1,1200,Visa,Ben,Escondido                   ,CA,United States,01-05-2009 05:33
Product1,1200,Mastercard,Kim,London,England,United Kingdom,01-05-2009 05:33
Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands,01-05-2009 05:39
Product1,1200,Diners,Tracy,Lucca,Tuscany,Italy,01-05-2009 06:12
Product1,1200,Mastercard,T,Veigy-Foncenex,Rhone-Alpes,France,01-05-2009 06:14
Product1,1200,Visa,Annette ,Manhattan                   ,NY,United States,01-05-2009 07:37
Product1,1200,Amex,Claire,Versoix,Geneve,Switzerland,01-05-2009 07:47
Product1,1200,Mastercard,Isabelle,Ewa Beach                   ,HI,United States,01-05-2009 07:55
Product1,1200,Visa,isabel,Ruti,Zurich,Switzerland,01-05-2009 08:28
Product2,3600,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany,01-05-2009 08:58
Product1,1200,Visa,Sophie,Bloomfield                  ,MI,United States,01-05-2009 09:09
Product1,1200,Visa,isabelle,Sainte-Therese-de-Blainville,Quebec,Canada,01-05-2009 09:15
Product2,3600,Visa,Emillie,Eagan                       ,MN,United States,01-05-2009 10:02
Product1,1200,Visa,Georgia,Eagle                       ,ID,United States,01-05-2009 10:08
Product1,1200,Visa,Ec,Clonmel,Tipperary,Ireland,01-05-2009 10:08
Product1,1200,Amex,linda,Arlington                   ,VA,United States,01-05-2009 10:25
Product2,3600,Amex,Courtney,Mililani                    ,HI,United States,01-05-2009 10:49
Product1,1200,Visa,pirunkit,Petworth,England,United Kingdom,01-05-2009 11:21
Product1,1200,Amex,Angie,Rodeo                       ,CA,United States,01-05-2009 11:24
Product1,1200,Visa,Janet,Ottawa,Ontario,Canada,01-05-2009 11:37
Product1,1200,Visa,Lauren,Laasby,Arhus,Denmark,01-05-2009 11:44
Product1,1200,Visa,Cameron,Rungsted,Frederiksborg,Denmark,01-05-2009 12:28
Product1,1200,Mastercard,Kathryn,Pacific Beach               ,CA,United States,01-05-2009 12:41
Product1,1200,Visa,Katrin,Calgary,Alberta,Canada,01-05-2009 12:41
Product1,1200,Diners,Manoj,Boise                       ,ID,United States,01-05-2009 12:57
Product1,1200,Visa,Amanda,Shenfield,England,United Kingdom,01-05-2009 13:07
Product1,1200,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands,01-05-2009 13:17
Product1,1200,Visa,Macy,Inner City,Vienna,Austria,01-05-2009 13:23
Product1,1200,Visa,Courtney,Atchison                    ,KS,United States,01-05-2009 13:46
Product1,1200,Mastercard,Tammy,Morges,Vaud,Switzerland,01-05-2009 13:52
Product1,1200,Amex,Amy,Ashford,England,United Kingdom,01-05-2009 15:15
Product1,1200,Visa,maggie,Stockton,England,United Kingdom,01-05-2009 15:23
Product1,1200,Visa,Melissa ,Parkland                    ,FL,United States,01-05-2009 15:39
Product1,1200,Visa,Jeffrey,Montreal-Nord,Quebec,Canada,01-05-2009 16:55
Product1,1200,Visa,Nicole,Mc Lean                     ,VA,United States,01-05-2009 18:55
Product1,1200,Visa,katie,Ruschlikon,Zurich,Switzerland,01-05-2009 19:26
Product1,1200,Visa,Carmen,Arlington                   ,VA,United States,01-05-2009 19:29
Product1,1200,Amex,Bernadette,Washington                  ,DC,United States,01-05-2009 19:37
Product2,3600,Visa,James,Burpengary,Queensland,Australia,01-05-2009 20:00
Product1,1200,Mastercard,Tracy,Louisville                  ,KY,United States,01-05-2009 21:06
Product1,1200,Mastercard,Frank,Melbourne,Victoria,Australia,01-06-2009 01:20
Product1,1200,Visa,Polyxene,Perth,Western Australia,Australia,01-06-2009 02:41
Product1,1200,Visa,Krista,Bergen,Hordaland,Norway,01-06-2009 03:39
Product1,1200,Visa,Lina,Edinburgh,Scotland,United Kingdom,01-06-2009 04:18
Product1,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India,01-06-2009 05:02
Product1,1200,Visa,Astrid,Altlengbach,Lower Austria,Austria,01-06-2009 05:10
Product1,1200,Amex,Abikay,Atlanta                     ,GA,United States,01-06-2009 05:42
Product1,1200,Visa,Scott,Rungsted,Frederiksborg,Denmark,01-06-2009 06:07
Product1,1200,Visa,mike,La Louviere,Hainaut,Belgium,01-06-2009 06:31
Product1,1200,Visa,asuman,Chula Vista                 ,CA,United States,01-06-2009 07:18
Product1,1200,Visa,Anna,Okotoks,Alberta,Canada,01-06-2009 07:23
Product2,3600,Visa,Sabine,London,England,United Kingdom,01-06-2009 07:45
Product1,1200,Amex,Kelly,Reston                      ,VA,United States,01-06-2009 07:46
Product1,1200,Visa,Orit,Dallas                      ,TX,United States,01-06-2009 08:34
Product1,1200,Visa,Frances,San Diego                   ,CA,United States,01-06-2009 09:31
Product1,1200,Diners,Matt,N Woodmere                  ,NY,United States,01-06-2009 09:45
Product1,1200,Mastercard,Anna,Lafayette                   ,CA,United States,01-06-2009 09:52
Product1,1200,Mastercard,Charlene ,Vancouver,British Columbia,Canada,01-06-2009 09:55
Product1,1200,Mastercard,Anja,New York                    ,NY,United States,01-06-2009 10:34
Product1,1200,Mastercard,Bruce and Camille,Clinton                     ,NJ,United States,01-06-2009 10:48
Product2,3600,Visa,Trina,Overland                    ,KS,United States,01-06-2009 11:17
Product1,1200,Visa,Audinet,Cambridge                   ,MA,United States,01-06-2009 12:26
Product1,1200,Mastercard,Antonella,Amsterdam,Noord-Holland,Netherlands,01-06-2009 12:27
Product2,3600,Amex,Kaylee,Penngrove                   ,CA,United States,01-06-2009 12:45
Product1,1200,Visa,Jeremy,Manchester,England,United Kingdom,01-06-2009 12:56
Product1,1200,Visa,Fie,New York                    ,NY,United States,01-06-2009 14:03
Product1,1200,Mastercard,Kim,Brussels,Brussels (Bruxelles),Belgium,01-06-2009 14:08
Product1,1200,Diners,Hilde Karin,Las Vegas                   ,NV,United States,01-06-2009 14:35
Product2,3600,Mastercard,Elizabeth,Den Haag,Zuid-Holland,Netherlands,01-06-2009 14:38
Product1,1200,Amex,lydia,Sandy Plains                ,GA,United States,01-06-2009 15:12
Product1,1200,Mastercard,Danielle,Rathgar,Dublin,Ireland,01-06-2009 15:15
Product1,1200,Visa,Margaret,Terrell Hills               ,TX,United States,01-06-2009 16:07
Product2,3600,Visa,cristina,Seattle                     ,WA,United States,01-06-2009 16:08
